"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Wasting","MNAR 10%","MI-RF",20,"-1.30 (0.07)","-17.0","0.31 (0.05)","0.42 (0.00)","1.33","1.33 (0.07)","15.0 (8.0)","1.64","0.10"
"Wasting","MNAR 30%","Complete data",20,"-0.01 (0.09)","-0.1","0.42 (0.07)","0.45 (0.01)","1.08","0.41 (0.05)","100.0 (0.0)","1.77","—"
"Wasting","MNAR 30%","CCA",20,"-2.62 (0.10)","-34.4","0.43 (0.07)","0.42 (0.01)","0.98","2.66 (0.10)","0.0 (0.0)","1.66","—"
"Wasting","MNAR 30%","IPW",20,"-2.73 (0.10)","-35.8","0.45 (0.07)","0.43 (0.01)","0.95","2.76 (0.10)","0.0 (0.0)","1.67","—"
"Wasting","MNAR 30%","MI-PMM",20,"-2.53 (0.09)","-33.2","0.38 (0.06)","0.40 (0.01)","1.06","2.56 (0.09)","0.0 (0.0)","1.60","0.27"
"Wasting","MNAR 30%","MI-RF",20,"-2.65 (0.09)","-34.8","0.42 (0.07)","0.40 (0.01)","0.94","2.69 (0.10)","0.0 (0.0)","1.57","0.23"
"Wasting","MNAR 50%","Complete data",20,"-0.01 (0.08)","-0.1","0.37 (0.06)","0.45 (0.01)","1.23","0.36 (0.05)","100.0 (0.0)","1.78","—"
"Wasting","MNAR 50%","CCA",20,"-3.63 (0.07)","-47.6","0.33 (0.05)","0.46 (0.01)","1.38","3.64 (0.07)","0.0 (0.0)","1.80","—"
"Wasting","MNAR 50%","IPW",20,"-3.75 (0.10)","-49.2","0.43 (0.07)","0.47 (0.01)","1.11","3.78 (0.09)","0.0 (0.0)","1.85","—"
"Wasting","MNAR 50%","MI-PMM",20,"-3.50 (0.07)","-45.9","0.33 (0.05)","0.41 (0.01)","1.24","3.52 (0.07)","0.0 (0.0)","1.66","0.42"
"Wasting","MNAR 50%","MI-RF",20,"-3.74 (0.08)","-49.0","0.36 (0.06)","0.38 (0.01)","1.06","3.75 (0.08)","0.0 (0.0)","1.51","0.32"
