"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Wasting","MAR-strong 30%","Complete data",500,"0.02 (0.02)","0.3","0.46 (0.01)","0.45 (0.00)","0.97","0.46 (0.02)","94.0 (1.1)","1.77","—"
"Wasting","MAR-strong 30%","CCA",500,"-0.70 (0.02)","-9.2","0.53 (0.02)","0.51 (0.00)","0.95","0.88 (0.02)","71.2 (2.0)","1.99","—"
"Wasting","MAR-strong 30%","IPW",500,"0.01 (0.03)","0.1","0.58 (0.02)","0.56 (0.00)","0.97","0.58 (0.02)","94.2 (1.0)","2.20","—"
"Wasting","MAR-strong 30%","MI-PMM",500,"-0.20 (0.02)","-2.6","0.55 (0.02)","0.49 (0.00)","0.90","0.59 (0.02)","90.2 (1.3)","1.96","0.27"
"Wasting","MAR-strong 30%","MI-RF",500,"-0.49 (0.02)","-6.5","0.53 (0.02)","0.48 (0.00)","0.90","0.72 (0.02)","79.4 (1.8)","1.90","0.23"
"Wasting","MAR-strong 50%","Complete data",500,"0.00 (0.02)","0.0","0.44 (0.01)","0.45 (0.00)","1.03","0.44 (0.01)","96.2 (0.9)","1.76","—"
"Wasting","MAR-strong 50%","CCA",500,"-1.11 (0.03)","-14.6","0.59 (0.02)","0.57 (0.00)","0.96","1.26 (0.02)","54.2 (2.2)","2.23","—"
"Wasting","MAR-strong 50%","IPW",500,"-0.04 (0.03)","-0.6","0.71 (0.02)","0.70 (0.00)","1.00","0.71 (0.02)","95.2 (1.0)","2.77","—"
"Wasting","MAR-strong 50%","MI-PMM",500,"-0.33 (0.03)","-4.3","0.66 (0.02)","0.54 (0.00)","0.81","0.74 (0.02)","86.0 (1.6)","2.16","0.43"
"Wasting","MAR-strong 50%","MI-RF",500,"-0.88 (0.03)","-11.6","0.58 (0.02)","0.50 (0.00)","0.86","1.06 (0.02)","59.8 (2.2)","1.99","0.36"
"Wasting","MNAR 10%","Complete data",500,"0.00 (0.02)","0.0","0.44 (0.01)","0.45 (0.00)","1.02","0.44 (0.01)","95.4 (0.9)","1.76","—"
"Wasting","MNAR 10%","CCA",500,"-1.19 (0.02)","-15.6","0.43 (0.01)","0.43 (0.00)","0.98","1.26 (0.02)","25.4 (1.9)","1.68","—"
"Wasting","MNAR 10%","IPW",500,"-1.18 (0.02)","-15.5","0.43 (0.01)","0.43 (0.00)","0.99","1.26 (0.02)","25.2 (1.9)","1.68","—"
"Wasting","MNAR 10%","MI-PMM",500,"-1.12 (0.02)","-14.7","0.43 (0.01)","0.42 (0.00)","0.99","1.20 (0.02)","28.0 (2.0)","1.66","0.10"
"Wasting","MNAR 10%","MI-RF",500,"-1.14 (0.02)","-14.9","0.44 (0.01)","0.42 (0.00)","0.97","1.22 (0.02)","29.2 (2.0)","1.67","0.09"
"Wasting","MNAR 30%","Complete data",500,"0.02 (0.02)","0.2","0.45 (0.01)","0.45 (0.00)","1.01","0.45 (0.01)","95.2 (1.0)","1.76","—"
"Wasting","MNAR 30%","CCA",500,"-2.57 (0.02)","-33.7","0.45 (0.01)","0.43 (0.00)","0.95","2.61 (0.02)","0.0 (0.0)","1.67","—"
"Wasting","MNAR 30%","IPW",500,"-2.65 (0.02)","-34.8","0.45 (0.01)","0.43 (0.00)","0.96","2.69 (0.02)","0.0 (0.0)","1.69","—"
"Wasting","MNAR 30%","MI-PMM",500,"-2.47 (0.02)","-32.4","0.43 (0.01)","0.41 (0.00)","0.94","2.51 (0.02)","0.0 (0.0)","1.61","0.26"
"Wasting","MNAR 30%","MI-RF",500,"-2.60 (0.02)","-34.1","0.44 (0.01)","0.40 (0.00)","0.92","2.63 (0.02)","0.0 (0.0)","1.59","0.24"
"Wasting","MNAR 50%","Complete data",500,"0.01 (0.02)","0.1","0.45 (0.01)","0.45 (0.00)","1.00","0.45 (0.01)","95.6 (0.9)","1.76","—"
"Wasting","MNAR 50%","CCA",500,"-3.52 (0.02)","-46.2","0.48 (0.02)","0.45 (0.00)","0.93","3.55 (0.02)","0.0 (0.0)","1.77","—"
"Wasting","MNAR 50%","IPW",500,"-3.65 (0.02)","-47.9","0.50 (0.02)","0.47 (0.00)","0.93","3.69 (0.02)","0.0 (0.0)","1.84","—"
"Wasting","MNAR 50%","MI-PMM",500,"-3.41 (0.02)","-44.8","0.47 (0.01)","0.40 (0.00)","0.87","3.44 (0.02)","0.0 (0.0)","1.62","0.41"
"Wasting","MNAR 50%","MI-RF",500,"-3.64 (0.02)","-47.8","0.46 (0.01)","0.39 (0.00)","0.84","3.67 (0.02)","0.0 (0.0)","1.54","0.35"
